Jonas Jonauskas,10,9,8,7,6,4,5,3,2
Tadas Blinda,8,8,5,6,8,7,6,4,9,8,7,8
Rožė Spiglytė,5,3,5,6,4,2,6,4,6,2,7,3
Petras Petrauskas,9,8,6,5,3,2,2,3,2,5,3
Marytė Boružytė,6,8,9,10,10,10
Leopoldas Katinauskas,5,6,8,9,8,7,8,8,3
Teodoras Mokslinčius,10,9,10,10,10,9,9,10,9,10,10
Karabasas Barabasas,2,3,5,6,8,1,2,4
Barbora Radvilaitė,7,8,9,10,10,10,9,8,7,8,8
Buratinas Medinauskas,9,4,10,10,8,9,9,9,10,10,9,10
Ali Baba,5,9,8,7,5,6,5,8,6,2,10,4,5
Haris Poteris,10,9,8,7,5,7,9,8,9,10,10
Vytautas Dydysis,10,9,8,7,8,9,9,8,9,10,10
